FID,occurrenceId,url,isPresentObservation,dataProviderId,datasetName,startDate,endDate,modified,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,county,province,institutionCode,recordedBy,reportedBy,habitat,occurrenceRemarks,eventRemarks,dyntaxaTaxonId,taxonCategory,organismGroup,vernacularName,scientificName,isRedlisted,redlistCategory,isProtectedByLaw,isInvasiveInSweden,isInvasiveEu,invasiveRiskCategory,actionPlan,isHabitatsDirectiveAnnex2,isHabitatsDirectiveAnnex4,isHabitatsDirectiveAnnex5,isVerified,isUncertainIdentification,activity,lifeStage,gender,substrate,organismQuantity,organismQuantityUnit,isNaturalOccurrence,isNeverFoundObservation,isNotRediscoveredObservation,birdNestActivityId,project1Id,project1Name,project1Category,project1Url,project1Values,project2Id,project2Name,project2Category,project2Url,project2Values,point,pointLocation
SpeciesObservationsInvasive.iO_EE44BcnWOXMpyz808,urn:lsid:herbarium.emg.umu.se:observation:UPS*V-778539*264555,,true,7,Virtual Herbarium,1852-08-12T23:00:00,1852-08-12T23:00:00,,57.79459,18.79638,9144,,Gotland,Gotland,Gotland,,N.C. Kindberg,,,Storugns  i Lärbro,,264555,Art,Kärlväxter,bleklin,Linum bienne,false,NA,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (18.79638 57.79459),POINT (18.79638 57.79459)
SpeciesObservationsInvasive.ga7EE44BSBpt87cS4udJ,urn:lsid:shark:observation:52cd4a53e88514b6475538aea96d5d3c-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2013-09-25T00:00:00,2013-09-25T00:00:00,,57.24807,12.09135,1,,Varberg,Halland,Halland,,Bo Gustafsson,U4,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09135 57.24807),POINT (12.09135 57.24807)
SpeciesObservationsInvasive.Oa7EE44BSBpt87cS4uhJ,urn:lsid:shark:observation:25c358909eba8029c96d86859823e709-249392,,true,8,SHARK_Epibenthos_2010_2013_NLST,2011-09-10T00:00:00,2011-09-10T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,249392,Art,Blötdjur,stillahavsostron,Magallana gigas,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.Aa7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:99828dcf952e05abc8d4f9cf23f4189b-232761,,true,8,SHARK_Epibenthos_2010_2013_NLST,2013-08-05T00:00:00,2013-08-05T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232761,Art,Alger,japansk sargassotång,Sargassum muticum,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.Ua7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:b72b17c9601bc9be21dca5150294d5d5-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2012-08-31T00:00:00,2012-08-31T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.aK7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:2ab50ecea8a1e0c422232745181c9785-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2012-08-30T00:00:00,2012-08-30T00:00:00,,57.24807,12.09135,1,,Varberg,Halland,Halland,,Bo Gustafssson,U4,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09135 57.24807),POINT (12.09135 57.24807)
SpeciesObservationsInvasive.cq7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:e48f88934071d479a023b817683b9f9e-249392,,true,8,SHARK_Epibenthos_2010_2013_NLST,2011-09-01T00:00:00,2011-09-01T00:00:00,,57.24807,12.09135,1,,Varberg,Halland,Halland,,Bo Gustafsson,U4,,,,249392,Art,Blötdjur,stillahavsostron,Magallana gigas,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09135 57.24807),POINT (12.09135 57.24807)
SpeciesObservationsInvasive.uK7EE44BSBpt87cS4upK,urn:lsid:shark:observation:25c358909eba8029c96d86859823e709-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2011-09-10T00:00:00,2011-09-10T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.Hq7EE44BSBpt87cS4utK,urn:lsid:shark:observation:3d95c31a827ced538fe9482521824906-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2013-08-05T00:00:00,2013-08-05T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.46_EE44BSBpt87cS8AjS,urn:lsid:slu.aqua.rom.nors:ObservedProperty:1262447.206227,,true,5,NORS,1991-07-16T00:00:00,1991-07-16T00:00:00,1998-10-02T00:00:00,58.87713,11.53636,5000,Norra Bullaresjön,Tanum,Västra Götaland,Bohuslän,,Länsstyrelsen i Västra Götalands län,Länsstyrelsen i Västra Götalands län,,,,206227,Art,Fiskar,regnbåge,Oncorhynchus mykiss,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.5363566239871 58.8771339709636),POINT (11.5363566239871 58.8771339709636)
